Order_ID,Customer_ID,Order_Date,Day,Month,Order_Time,Store_ID,Store_Location,Region,Product_Category,Product_Name,Size,Quantity,Unit_Price,Discount_%,Gross_Sales,GST_5%,Net_Sales,Payment_Method,Order_Type,Customer_Age_Group,Customer_Gender,Weather,Day_Type,Shift,Customer_Type,Loyalty_Member,Rating,Demand_Level
19,CUST9282,02-02-2025,Sunday,February,15:07,119,Delhi,North,Coffee,Cappuccino,Venti,5,268,0,1340,67,1407,Cash,Delivery,36-50,Female,Cloudy,Weekend,Evening,Returning,Yes,5,High
20,CUST7428,12-03-2025,Wednesday,March,14:13,114,Bengaluru,South,Coffee,Espresso,Grande,5,172,15,860,43,774,Cash,Delivery,26-35,Female,Sunny,Weekday,Morning,Returning,Yes,3,High
21,CUST2542,28-08-2025,Thursday,August,07:29,112,Kochi,South,Cold Beverage,Cold Brew,Grande,2,286,5,572,28.6,572,Cash,Delivery,26-35,Male,Cloudy,Weekday,Afternoon,Returning,No,4,Low
22,CUST8514,10-01-2025,Friday,January,11:32,114,Hyderabad,South,Cold Beverage,Cold Brew,Venti,3,275,10,825,41.25,783.75,Cash,Takeaway,36-50,Female,Cloudy,Weekday,Morning,New,Yes,3,Low
23,CUST5237,19-05-2025,Monday,May,04:25,112,Chennai,South,Coffee,Espresso,Tall,3,162,5,486,24.3,486,UPI,Delivery,50+,Female,Sunny,Weekday,Afternoon,New,Yes,4,Low
24,CUST4643,14-05-2025,Wednesday,May,02:51,102,Hyderabad,South,Coffee,Espresso,Grande,1,200,0,200,10,210,Cash,Takeaway,18-25,Female,Cloudy,Weekday,Afternoon,Returning,Yes,3,High
25,CUST6111,26-01-2025,Sunday,January,06:10,120,Mumbai,West,Coffee,Mocha,Grande,1,290,10,290,14.5,275.5,UPI,Dine-In,36-50,Female,Cloudy,Weekend,Evening,New,No,4,Low
26,CUST9425,16-09-2025,Tuesday,September,18:48,115,Mumbai,West,Coffee,Espresso,Tall,1,160,0,160,8,168,Card,Dine-In,50+,Female,Cloudy,Weekday,Afternoon,Returning,Yes,3,Medium
27,CUST2158,28-01-2025,Tuesday,January,04:25,120,Bengaluru,South,Coffee,Mocha,Venti,2,305,10,610,30.5,579.5,Card,Takeaway,26-35,Male,Sunny,Weekday,Evening,Returning,No,5,Low
28,CUST1059,22-03-2025,Saturday,March,09:10,108,Chennai,South,Coffee,Espresso,Grande,1,189,5,189,9.45,189,Card,Delivery,36-50,Male,Sunny,Weekend,Afternoon,New,No,3,Low
29,CUST4292,23-05-2025,Friday,May,17:09,107,Kochi,South,Cold Beverage,Cold Brew,Venti,4,275,15,1100,55,990,Cash,Dine-In,36-50,Male,Sunny,Weekday,Afternoon,New,No,3,Medium
30,CUST6343,03-12-2025,Wednesday,December,20:21,115,Chennai,South,Coffee,Espresso,Tall,2,165,5,330,16.5,330,Card,Delivery,26-35,Male,Cloudy,Weekday,Evening,Returning,Yes,5,High
31,CUST3180,13-02-2025,Thursday,February,01:03,120,Bengaluru,South,Bakery,Butter Croissant,Grande,1,183,5,183,9.15,183,Cash,Takeaway,50+,Male,Cloudy,Weekday,Morning,New,No,4,Low
32,CUST8763,04-12-2025,Thursday,December,17:57,108,Bengaluru,South,Tea,Green Tea,Tall,1,202,0,202,10.1,212.1,Card,Dine-In,26-35,Male,Cloudy,Weekday,Evening,Returning,No,4,Low
33,CUST6435,09-02-2025,Sunday,February,20:28,108,Mumbai,West,Tea,Green Tea,Venti,3,172,5,516,25.8,516,UPI,Delivery,36-50,Male,Sunny,Weekend,Afternoon,New,No,4,High
34,CUST8613,29-05-2025,Thursday,May,17:37,114,Delhi,North,Coffee,Cappuccino,Grande,2,283,15,566,28.3,509.4,Cash,Delivery,26-35,Female,Sunny,Weekday,Afternoon,New,No,4,Low
35,CUST2479,18-04-2025,Friday,April,07:11,104,Bengaluru,South,Bakery,Blueberry Muffin,Venti,4,167,15,668,33.4,601.2,UPI,Takeaway,36-50,Male,Cloudy,Weekday,Evening,Returning,Yes,5,Medium
36,CUST9055,13-01-2025,Monday,January,05:25,114,Bengaluru,South,Coffee,Mocha,Grande,4,311,15,1244,62.2,1119.6,Card,Delivery,26-35,Female,Rainy,Weekday,Afternoon,Returning,Yes,4,Low
37,CUST5748,11-04-2025,Friday,April,00:24,108,Kochi,South,Cold Beverage,Cold Brew,Grande,3,295,0,885,44.25,929.25,Cash,Takeaway,50+,Male,Rainy,Weekday,Afternoon,Returning,Yes,4,Low
38,CUST9371,08-05-2025,Thursday,May,09:04,110,Chennai,South,Coffee,Caffe Latte,Tall,3,300,5,900,45,900,Card,Takeaway,18-25,Female,Cloudy,Weekday,Evening,New,Yes,3,High
39,CUST1802,26-11-2025,Wednesday,November,09:46,117,Chennai,South,Frappuccino,Caramel Frappuccino,Tall,4,379,5,1516,75.8,1516,Cash,Takeaway,50+,Female,Rainy,Weekday,Afternoon,Returning,No,4,High
40,CUST3648,03-03-2025,Monday,March,05:42,102,Kochi,South,Coffee,Mocha,Tall,3,310,15,930,46.5,837,UPI,Takeaway,26-35,Female,Rainy,Weekday,Afternoon,Returning,Yes,5,Low
41,CUST4917,12-10-2025,Sunday,October,03:06,111,Delhi,North,Coffee,Mocha,Grande,1,291,10,291,14.55,276.45,UPI,Dine-In,18-25,Female,Rainy,Weekend,Afternoon,New,No,4,Medium
42,CUST9670,06-03-2025,Thursday,March,23:26,120,Hyderabad,South,Coffee,Caffe Latte,Tall,4,277,10,1108,55.4,1052.6,Cash,Takeaway,26-35,Female,Rainy,Weekday,Evening,Returning,No,4,Low
43,CUST2198,28-10-2025,Tuesday,October,16:43,112,Bengaluru,South,Coffee,Americano,Venti,1,227,15,227,11.35,204.3,Card,Takeaway,26-35,Male,Sunny,Weekday,Morning,New,Yes,5,High
44,CUST1615,01-01-2025,Wednesday,January,04:17,120,Mumbai,West,Tea,Green Tea,Venti,1,205,0,205,10.25,215.25,Card,Dine-In,36-50,Female,Cloudy,Weekday,Morning,New,Yes,4,High
45,CUST1171,25-04-2025,Friday,April,20:30,117,Bengaluru,South,Bakery,Butter Croissant,Grande,2,164,10,328,16.4,311.6,Card,Takeaway,36-50,Male,Rainy,Weekday,Evening,New,Yes,3,Medium
46,CUST7881,13-09-2025,Saturday,September,23:01,102,Kochi,South,Coffee,Espresso,Grande,1,161,5,161,8.05,161,Cash,Delivery,50+,Female,Sunny,Weekend,Afternoon,New,No,5,Medium
47,CUST4362,30-05-2025,Friday,May,17:13,115,Bengaluru,South,Cold Beverage,Cold Brew,Tall,4,282,0,1128,56.4,1184.4,Card,Dine-In,26-35,Female,Sunny,Weekday,Afternoon,Returning,Yes,5,Medium
48,CUST3398,02-08-2025,Saturday,August,22:42,112,Bengaluru,South,Bakery,Butter Croissant,Tall,2,154,15,308,15.4,277.2,Cash,Dine-In,26-35,Female,Sunny,Weekend,Evening,New,Yes,4,Medium
49,CUST9598,18-06-2025,Wednesday,June,06:30,114,Mumbai,West,Cold Beverage,Cold Brew,Tall,1,275,5,275,13.75,275,Card,Delivery,50+,Female,Rainy,Weekday,Afternoon,New,Yes,3,Low
50,CUST7228,05-03-2025,Wednesday,March,19:09,111,Mumbai,West,Coffee,Espresso,Grande,1,182,15,182,9.1,163.8,Card,Dine-In,18-25,Female,Sunny,Weekday,Afternoon,Returning,Yes,4,Medium
51,CUST1666,07-05-2025,Wednesday,May,21:20,112,Chennai,South,Tea,Green Tea,Tall,1,210,15,210,10.5,189,Card,Dine-In,18-25,Female,Sunny,Weekday,Evening,New,No,4,Medium
52,CUST5872,20-12-2025,Saturday,December,10:48,100,Delhi,North,Cold Beverage,Cold Brew,Venti,5,272,10,1360,68,1292,UPI,Delivery,18-25,Male,Sunny,Weekend,Morning,Returning,No,4,Medium
53,CUST5969,04-04-2025,Friday,April,00:17,104,Kochi,South,Frappuccino,Caramel Frappuccino,Venti,4,348,15,1392,69.6,1252.8,Cash,Takeaway,36-50,Female,Rainy,Weekday,Evening,New,Yes,4,Low
54,CUST6337,04-09-2025,Thursday,September,18:51,105,Hyderabad,South,Coffee,Mocha,Grande,4,284,0,1136,56.8,1192.8,Cash,Dine-In,36-50,Male,Sunny,Weekday,Morning,Returning,No,5,Medium
55,CUST4849,24-08-2025,Sunday,August,21:10,117,Kochi,South,Coffee,Americano,Venti,2,208,15,416,20.8,374.4,Cash,Takeaway,36-50,Female,Cloudy,Weekend,Afternoon,Returning,No,5,Medium
56,CUST5609,06-05-2025,Tuesday,May,08:02,118,Mumbai,West,Coffee,Mocha,Tall,4,295,5,1180,59,1180,Card,Dine-In,50+,Female,Sunny,Weekday,Evening,New,Yes,5,Medium
57,CUST1661,29-04-2025,Tuesday,April,15:18,109,Delhi,North,Coffee,Caffe Latte,Tall,1,260,15,260,13,234,Cash,Dine-In,26-35,Male,Sunny,Weekday,Afternoon,New,No,5,Medium
58,CUST6570,22-04-2025,Tuesday,April,01:16,104,Delhi,North,Coffee,Caffe Latte,Tall,1,300,10,300,15,285,Cash,Takeaway,18-25,Male,Sunny,Weekday,Afternoon,Returning,No,3,High
59,CUST2036,11-09-2025,Thursday,September,18:42,113,Chennai,South,Coffee,Espresso,Tall,1,173,0,173,8.65,181.65,Card,Delivery,26-35,Male,Cloudy,Weekday,Morning,Returning,No,4,Medium
60,CUST7823,18-10-2025,Saturday,October,12:11,100,Chennai,South,Coffee,Espresso,Grande,4,163,10,652,32.6,619.4,UPI,Dine-In,50+,Female,Sunny,Weekend,Morning,Returning,Yes,4,Low
61,CUST1243,24-08-2025,Sunday,August,05:32,101,Mumbai,West,Coffee,Cappuccino,Venti,4,276,10,1104,55.2,1048.8,Cash,Delivery,50+,Male,Cloudy,Weekend,Evening,Returning,Yes,3,Medium
62,CUST9036,04-02-2025,Tuesday,February,03:42,106,Chennai,South,Coffee,Espresso,Grande,2,193,5,386,19.3,386,Cash,Dine-In,50+,Female,Sunny,Weekday,Evening,Returning,Yes,5,High
63,CUST3997,11-11-2025,Tuesday,November,06:41,118,Chennai,South,Coffee,Americano,Tall,2,239,15,478,23.9,430.2,Cash,Takeaway,26-35,Female,Rainy,Weekday,Morning,New,Yes,5,Low
64,CUST7387,08-12-2025,Monday,December,11:03,119,Bengaluru,South,Coffee,Caffe Latte,Grande,5,303,0,1515,75.75,1590.75,UPI,Delivery,36-50,Female,Rainy,Weekday,Evening,New,No,4,High
65,CUST9019,02-04-2025,Wednesday,April,00:47,114,Bengaluru,South,Cold Beverage,Cold Brew,Tall,4,302,15,1208,60.4,1087.2,Card,Delivery,50+,Male,Rainy,Weekday,Afternoon,New,Yes,3,Medium
66,CUST1667,16-09-2025,Tuesday,September,17:24,101,Kochi,South,Frappuccino,Caramel Frappuccino,Venti,3,345,15,1035,51.75,931.5,Cash,Dine-In,36-50,Male,Sunny,Weekday,Evening,Returning,Yes,3,Low
67,CUST4622,09-09-2025,Tuesday,September,09:49,102,Mumbai,West,Bakery,Butter Croissant,Grande,1,152,5,152,7.6,152,UPI,Takeaway,26-35,Female,Cloudy,Weekday,Afternoon,Returning,Yes,4,High
68,CUST6227,12-11-2025,Wednesday,November,17:16,111,Mumbai,West,Tea,Green Tea,Tall,2,207,10,414,20.7,393.3,Cash,Dine-In,50+,Male,Cloudy,Weekday,Afternoon,Returning,No,3,Medium
69,CUST2713,20-08-2025,Wednesday,August,18:57,108,Hyderabad,South,Coffee,Cappuccino,Venti,5,243,10,1215,60.75,1154.25,UPI,Takeaway,36-50,Female,Rainy,Weekday,Afternoon,New,No,4,Low
70,CUST6080,01-06-2025,Sunday,June,17:36,120,Delhi,North,Tea,Green Tea,Venti,2,181,0,362,18.1,380.1,UPI,Takeaway,18-25,Male,Sunny,Weekend,Morning,Returning,No,4,High
71,CUST1746,27-04-2025,Sunday,April,20:54,100,Kochi,South,Cold Beverage,Cold Brew,Tall,1,278,15,278,13.9,250.2,Cash,Delivery,36-50,Female,Sunny,Weekend,Evening,Returning,Yes,4,High
72,CUST3598,07-07-2025,Monday,July,21:17,104,Chennai,South,Coffee,Espresso,Tall,5,168,5,840,42,840,Cash,Delivery,26-35,Female,Sunny,Weekday,Morning,New,No,4,Medium
73,CUST8270,01-11-2025,Saturday,November,22:02,119,Hyderabad,South,Coffee,Caffe Latte,Venti,1,301,10,301,15.05,285.95,UPI,Takeaway,26-35,Male,Sunny,Weekend,Morning,New,Yes,4,Low
74,CUST4231,07-01-2025,Tuesday,January,20:54,104,Hyderabad,South,Coffee,Mocha,Grande,2,283,0,566,28.3,594.3,Cash,Delivery,50+,Male,Cloudy,Weekday,Afternoon,New,No,5,Low
75,CUST8413,12-08-2025,Tuesday,August,15:52,105,Bengaluru,South,Tea,Green Tea,Tall,5,170,15,850,42.5,765,Cash,Takeaway,26-35,Male,Sunny,Weekday,Afternoon,Returning,Yes,4,High
76,CUST2399,01-06-2025,Sunday,June,21:54,116,Mumbai,West,Bakery,Blueberry Muffin,Tall,4,193,10,772,38.6,733.4,Cash,Takeaway,26-35,Male,Sunny,Weekend,Evening,Returning,Yes,4,Medium
77,CUST1104,30-08-2025,Saturday,August,18:06,100,Kochi,South,Bakery,Butter Croissant,Grande,2,164,15,328,16.4,295.2,UPI,Dine-In,36-50,Male,Rainy,Weekend,Evening,New,Yes,3,Low
78,CUST1470,26-06-2025,Thursday,June,04:50,100,Kochi,South,Coffee,Caffe Latte,Tall,1,266,5,266,13.3,266,Cash,Delivery,18-25,Male,Cloudy,Weekday,Morning,New,No,3,High
79,CUST1554,16-04-2025,Wednesday,April,06:56,101,Bengaluru,South,Coffee,Cappuccino,Venti,4,246,5,984,49.2,984,Cash,Delivery,36-50,Female,Sunny,Weekday,Morning,New,Yes,4,Medium
80,CUST1793,29-06-2025,Sunday,June,08:45,111,Delhi,North,Cold Beverage,Cold Brew,Grande,4,286,0,1144,57.2,1201.2,UPI,Delivery,50+,Female,Cloudy,Weekend,Evening,New,No,3,Medium
81,CUST4548,27-12-2025,Saturday,December,01:38,102,Hyderabad,South,Bakery,Blueberry Muffin,Venti,1,172,15,172,8.6,154.8,Card,Dine-In,50+,Male,Cloudy,Weekend,Morning,Returning,Yes,3,Medium
82,CUST9440,11-09-2025,Thursday,September,20:13,108,Delhi,North,Tea,Green Tea,Venti,1,201,5,201,10.05,201,Cash,Takeaway,26-35,Male,Rainy,Weekday,Morning,New,Yes,4,High
83,CUST7465,02-07-2025,Wednesday,July,03:14,102,Chennai,South,Bakery,Blueberry Muffin,Grande,1,190,10,190,9.5,180.5,UPI,Dine-In,36-50,Male,Rainy,Weekday,Afternoon,Returning,Yes,4,High
84,CUST9548,28-06-2025,Saturday,June,19:51,104,Delhi,North,Coffee,Mocha,Grande,4,288,0,1152,57.6,1209.6,UPI,Delivery,36-50,Male,Rainy,Weekend,Afternoon,Returning,Yes,3,Medium
85,CUST3532,17-05-2025,Saturday,May,10:17,104,Kochi,South,Tea,Green Tea,Tall,2,202,5,404,20.2,404,UPI,Takeaway,36-50,Male,Sunny,Weekend,Afternoon,New,No,5,Low
86,CUST5872,19-03-2025,Wednesday,March,05:03,113,Delhi,North,Coffee,Americano,Grande,1,212,15,212,10.6,190.8,Cash,Dine-In,18-25,Female,Sunny,Weekday,Afternoon,Returning,Yes,3,Medium
87,CUST5214,26-08-2025,Tuesday,August,00:45,119,Mumbai,West,Frappuccino,Caramel Frappuccino,Venti,2,372,10,744,37.2,706.8,Card,Dine-In,26-35,Female,Cloudy,Weekday,Evening,Returning,Yes,5,High
88,CUST8086,25-11-2025,Tuesday,November,04:14,110,Chennai,South,Bakery,Butter Croissant,Grande,2,183,5,366,18.3,366,UPI,Delivery,18-25,Female,Sunny,Weekday,Afternoon,New,No,4,Medium
89,CUST3999,23-09-2025,Tuesday,September,23:02,120,Kochi,South,Tea,Green Tea,Grande,1,209,15,209,10.45,188.1,Cash,Takeaway,50+,Male,Sunny,Weekday,Afternoon,New,Yes,5,Low
90,CUST8794,05-10-2025,Sunday,October,06:59,116,Kochi,South,Bakery,Blueberry Muffin,Tall,3,156,15,468,23.4,421.2,UPI,Takeaway,36-50,Female,Cloudy,Weekend,Afternoon,New,Yes,4,High
91,CUST7548,10-05-2025,Saturday,May,09:21,101,Chennai,South,Coffee,Cappuccino,Tall,5,262,0,1310,65.5,1375.5,Cash,Takeaway,50+,Female,Cloudy,Weekend,Afternoon,New,Yes,4,High
92,CUST3118,25-08-2025,Monday,August,07:14,102,Mumbai,West,Frappuccino,Caramel Frappuccino,Venti,5,354,15,1770,88.5,1593,Cash,Takeaway,26-35,Male,Rainy,Weekday,Evening,Returning,No,4,High
93,CUST5154,17-05-2025,Saturday,May,12:50,113,Kochi,South,Coffee,Americano,Venti,4,222,5,888,44.4,888,Cash,Takeaway,18-25,Female,Rainy,Weekend,Morning,Returning,No,4,Medium
94,CUST5967,04-12-2025,Thursday,December,12:22,112,Mumbai,West,Frappuccino,Caramel Frappuccino,Tall,5,380,0,1900,95,1995,Cash,Delivery,36-50,Male,Cloudy,Weekday,Afternoon,New,Yes,3,Low
95,CUST4041,24-10-2025,Friday,October,04:52,114,Mumbai,West,Coffee,Espresso,Grande,3,198,0,594,29.7,623.7,Cash,Dine-In,50+,Male,Cloudy,Weekday,Evening,New,No,3,Medium
96,CUST2940,10-12-2025,Wednesday,December,03:59,108,Hyderabad,South,Coffee,Mocha,Grande,5,285,15,1425,71.25,1282.5,Cash,Dine-In,50+,Female,Cloudy,Weekday,Morning,Returning,No,3,High
97,CUST1108,04-10-2025,Saturday,October,20:27,105,Kochi,South,Tea,Green Tea,Grande,2,201,5,402,20.1,402,Card,Delivery,50+,Female,Rainy,Weekend,Afternoon,Returning,No,5,Low
98,CUST6414,11-01-2025,Saturday,January,20:48,103,Bengaluru,South,Coffee,Americano,Venti,3,240,0,720,36,756,Card,Takeaway,26-35,Male,Sunny,Weekend,Evening,Returning,Yes,4,Low
99,CUST7920,26-05-2025,Monday,May,14:51,108,Delhi,North,Cold Beverage,Cold Brew,Venti,3,300,5,900,45,900,Cash,Takeaway,36-50,Female,Rainy,Weekday,Afternoon,Returning,No,5,Medium
100,CUST5902,09-04-2025,Wednesday,April,10:49,104,Kochi,South,Coffee,Mocha,Venti,4,287,10,1148,57.4,1090.6,UPI,Dine-In,18-25,Female,Cloudy,Weekday,Evening,Returning,Yes,4,Medium
101,CUST1985,01-09-2025,Monday,September,20:46,116,Kochi,South,Coffee,Cappuccino,Venti,1,242,5,242,12.1,242,UPI,Takeaway,26-35,Male,Sunny,Weekday,Morning,Returning,Yes,3,High
102,CUST3272,02-12-2025,Tuesday,December,00:27,109,Delhi,North,Coffee,Americano,Venti,1,226,0,226,11.3,237.3,UPI,Takeaway,36-50,Male,Rainy,Weekday,Morning,Returning,Yes,4,High
103,CUST7629,02-03-2025,Sunday,March,14:22,114,Hyderabad,South,Bakery,Butter Croissant,Tall,1,171,0,171,8.55,179.55,Cash,Delivery,50+,Male,Rainy,Weekend,Afternoon,New,Yes,5,Medium
104,CUST2993,07-08-2025,Thursday,August,00:09,102,Bengaluru,South,Coffee,Mocha,Tall,2,320,0,640,32,672,Cash,Dine-In,50+,Male,Rainy,Weekday,Evening,New,No,5,High
105,CUST9160,13-02-2025,Thursday,February,10:00,114,Kochi,South,Coffee,Americano,Venti,1,223,5,223,11.15,223,Card,Dine-In,18-25,Male,Sunny,Weekday,Morning,New,No,4,Medium
106,CUST8188,11-06-2025,Wednesday,June,12:32,115,Hyderabad,South,Bakery,Butter Croissant,Venti,2,171,0,342,17.1,359.1,Cash,Dine-In,18-25,Female,Cloudy,Weekday,Morning,Returning,No,4,Medium
107,CUST6440,24-05-2025,Saturday,May,02:04,119,Hyderabad,South,Coffee,Espresso,Venti,5,181,10,905,45.25,859.75,Cash,Dine-In,36-50,Female,Sunny,Weekend,Afternoon,Returning,No,5,Low
108,CUST7922,14-06-2025,Saturday,June,08:58,105,Delhi,North,Tea,Green Tea,Venti,3,214,0,642,32.1,674.1,Cash,Takeaway,26-35,Male,Rainy,Weekend,Evening,Returning,No,5,Low
109,CUST1943,13-04-2025,Sunday,April,07:59,112,Delhi,North,Bakery,Blueberry Muffin,Grande,5,181,15,905,45.25,814.5,UPI,Dine-In,36-50,Male,Rainy,Weekend,Afternoon,New,No,3,Low
110,CUST9293,25-09-2025,Thursday,September,10:57,118,Chennai,South,Frappuccino,Caramel Frappuccino,Tall,5,373,10,1865,93.25,1771.75,Cash,Dine-In,26-35,Male,Sunny,Weekday,Evening,Returning,No,5,High
111,CUST7128,07-05-2025,Wednesday,May,01:31,103,Chennai,South,Cold Beverage,Cold Brew,Grande,4,303,5,1212,60.6,1212,UPI,Takeaway,18-25,Male,Rainy,Weekday,Evening,New,No,4,High
112,CUST4499,15-04-2025,Tuesday,April,19:18,108,Chennai,South,Bakery,Butter Croissant,Grande,1,146,0,146,7.3,153.3,Card,Dine-In,50+,Male,Rainy,Weekday,Morning,Returning,Yes,3,Medium
113,CUST8508,13-10-2025,Monday,October,12:37,115,Kochi,South,Coffee,Cappuccino,Tall,1,243,0,243,12.15,255.15,UPI,Delivery,50+,Male,Cloudy,Weekday,Morning,Returning,No,5,Low
114,CUST4852,18-08-2025,Monday,August,05:27,107,Delhi,North,Coffee,Cappuccino,Tall,5,265,5,1325,66.25,1325,Cash,Takeaway,36-50,Male,Cloudy,Weekday,Morning,New,No,5,High
115,CUST5895,12-06-2025,Thursday,June,00:11,118,Mumbai,West,Tea,Green Tea,Venti,1,176,5,176,8.8,176,Card,Delivery,18-25,Female,Rainy,Weekday,Afternoon,Returning,No,3,Medium
116,CUST1206,03-05-2025,Saturday,May,04:53,114,Kochi,South,Tea,Green Tea,Venti,4,180,15,720,36,648,Cash,Dine-In,26-35,Male,Sunny,Weekend,Evening,Returning,Yes,4,Low
117,CUST4831,20-08-2025,Wednesday,August,11:35,115,Delhi,North,Frappuccino,Caramel Frappuccino,Tall,1,380,0,380,19,399,UPI,Takeaway,26-35,Female,Sunny,Weekday,Evening,New,Yes,5,Medium
118,CUST5042,17-05-2025,Saturday,May,14:16,104,Chennai,South,Bakery,Blueberry Muffin,Tall,2,178,5,356,17.8,356,Card,Delivery,36-50,Female,Sunny,Weekend,Afternoon,Returning,Yes,4,Medium
119,CUST8822,20-11-2025,Thursday,November,22:48,109,Mumbai,West,Tea,Green Tea,Tall,1,179,0,179,8.95,187.95,Card,Dine-In,36-50,Female,Rainy,Weekday,Morning,New,Yes,4,Medium
120,CUST8243,15-03-2025,Saturday,March,21:50,116,Bengaluru,South,Frappuccino,Caramel Frappuccino,Grande,2,343,10,686,34.3,651.7,UPI,Dine-In,50+,Male,Cloudy,Weekend,Afternoon,New,No,4,Low
121,CUST4775,12-03-2025,Wednesday,March,06:08,105,Hyderabad,South,Frappuccino,Caramel Frappuccino,Tall,2,357,5,714,35.7,714,UPI,Dine-In,18-25,Female,Rainy,Weekday,Morning,New,Yes,5,High
122,CUST9512,06-01-2025,Monday,January,02:14,113,Kochi,South,Coffee,Mocha,Venti,5,299,5,1495,74.75,1495,Cash,Delivery,36-50,Female,Rainy,Weekday,Evening,Returning,Yes,3,Medium
123,CUST7014,08-05-2025,Thursday,May,06:21,101,Hyderabad,South,Tea,Green Tea,Tall,2,212,10,424,21.2,402.8,UPI,Takeaway,18-25,Female,Cloudy,Weekday,Afternoon,New,Yes,4,High
124,CUST2764,23-10-2025,Thursday,October,02:05,115,Delhi,North,Coffee,Mocha,Grande,3,325,15,975,48.75,877.5,UPI,Dine-In,26-35,Male,Sunny,Weekday,Morning,New,Yes,3,Low
